,baseMean,log2FoldChange,lfcSE,pvalue,padj
AKT1S1,2067.400929,-0.217278399,0.073234163,0.000307941,0.010960529
IRF2BP2,3479.21081,-0.264075755,0.093721634,0.000310893,0.01099783
DGKZ,5197.294638,-0.199145248,0.066328074,0.000311157,0.01099783
PWWP2B,680.9418601,-0.277822807,0.097763328,0.000315034,0.011063583
USP19,2787.622034,-0.219112449,0.075029397,0.000315199,0.011063583
GRIN2D,1741.901272,-0.251124848,0.087066986,0.00031818,0.011101989
ARHGEF1,5464.511101,-0.311641019,0.111579188,0.000318957,0.011101989
SNAI3,1013.568785,-0.286008195,0.101284821,0.000320634,0.011101989
SRRM2,19449.90843,-0.27226623,0.093639819,0.000321439,0.011101989
HSPD1,5074.77713,0.221462621,0.07573709,0.000321924,0.011101989
GPR137,1011.161577,-0.228867731,0.078239563,0.00032286,0.011101989
MXD4,3196.744629,-0.2497724,0.086700301,0.00032404,0.011104931
PHF3,2230.248804,0.178979375,0.058796759,0.00032736,0.011153622
PAPSS1,6532.633777,0.190184237,0.063069961,0.00032766,0.011153622
HDAC7,2522.073647,-0.224711793,0.076961315,0.000329083,0.01116461
RPL36A-HNRNPH2,809.4828334,0.406793028,0.152161532,0.000331384,0.011181115
RERE,3349.205318,-0.274621871,0.097773423,0.000331774,0.011181115
GNPNAT1,668.9942788,0.277975069,0.098774654,0.000333784,0.011211616
LMAN1,2748.553908,0.174585823,0.057231818,0.000336002,0.011225621
AKT1,4676.648636,-0.165141685,0.053528061,0.000337113,0.011225621
DPH1,1067.768639,-0.28120937,0.099959033,0.000338369,0.011225621
SGSH,2536.888909,-0.298062561,0.106349315,0.000339248,0.011225621
FAM135A,1213.445002,0.24181201,0.084288489,0.000340333,0.011225621
PRPF40A,3052.828843,0.179269414,0.059119901,0.000340841,0.011225621
CLPTM1,6424.765695,-0.176978868,0.058216316,0.000342022,0.011228076
SENP6,1996.263477,0.221584464,0.076111495,0.000347505,0.011366715
PTPRO,3189.472855,0.166436497,0.054212508,0.000348487,0.011366715
PET117,103.7369662,0.566669285,0.218792481,0.000350006,NA
POM121C,2005.74703,-0.255095941,0.089879295,0.00035632,0.011512702
KRR1,821.6733357,0.226005601,0.078048242,0.000357134,0.011512702
GIGYF1,3345.276147,-0.32002184,0.116658134,0.000357708,0.011512702
MGLL,2537.327998,-0.259435724,0.091598636,0.000357971,0.011512702
OTULINL,1454.35504,0.32943157,0.120040466,0.000358637,0.011512702
CNPPD1,2913.015976,-0.210909774,0.072097593,0.000364075,0.011650389
DAG1,836.4306604,-0.269486885,0.096220504,0.000373484,0.011884193
UAP1L1,3797.221206,-0.230520141,0.080614343,0.000374007,0.011884193
SDAD1,1140.224759,0.216728733,0.074831887,0.000374896,0.011884193
FBXW11,2079.802804,0.195186639,0.066137238,0.000377258,0.011921821
NXF1,2493.187278,-0.202539291,0.068657212,0.000378767,0.01193233
MFSD12,16327.80244,-0.179673182,0.059746414,0.000380619,0.011953548
ARID5A,2909.168156,-0.197582341,0.067934744,0.000384029,0.012006562
FUBP3,2500.537476,-0.180459594,0.060670682,0.000384674,0.012006562
CRTC2,1696.269581,-0.211990215,0.072882003,0.000386116,0.012014592
LAT,235.5404848,-0.405683083,0.154022155,0.000390861,0.012125044
LYRM7,506.3448026,0.354981698,0.13347684,0.000392143,0.01212773
ANKRD9,609.9327768,-0.289860527,0.105546132,0.000394885,0.012175431
ELMOD2,583.5188323,0.223743384,0.078196912,0.000397811,0.012228479
ADSS2,1848.367247,0.245365782,0.087549145,0.00040269,0.012290631
