,baseMean,log2FoldChange,lfcSE,pvalue,padj
BTBD2,1815.184956,-0.316946935,0.076934862,3.70E-06,0.000155582
KLHL38,54.88457184,-0.967186769,0.245292297,3.72E-06,0.000155757
PINK1,2638.137108,-0.274211411,0.065968191,3.74E-06,0.00015615
CTPS1,772.4489739,0.456115209,0.11401323,3.75E-06,0.00015615
OPRL1,427.944808,-0.386003274,0.095536203,4.00E-06,0.000165565
SLAMF7,949.9035366,0.408256504,0.101739767,4.00E-06,0.000165565
CLPTM1,6424.765695,-0.241153784,0.057615902,4.05E-06,0.000166576
P2RY11,2655.081171,-0.2928435,0.071142488,4.05E-06,0.000166576
ALDH1A2,3532.693676,0.335654583,0.08256544,4.07E-06,0.00016676
TECR,3344.100302,-0.22883051,0.05445408,4.14E-06,0.00016911
CD44,16677.15104,0.269245858,0.064989801,4.22E-06,0.000171669
WTAP,2246.503529,0.249133187,0.059836592,4.32E-06,0.000175264
PCDHGC3,2928.632154,-0.31010856,0.07604293,4.39E-06,0.000177765
QKI,9955.792009,-0.219119149,0.052658626,4.43E-06,0.000178635
CD93,172.2678179,0.837341265,0.216399989,4.48E-06,0.00017997
TNFRSF12A,1096.370512,0.291613507,0.071342079,4.53E-06,0.000181632
GAA,12548.55695,-0.362144823,0.089936627,4.56E-06,0.000182295
GEM,266.5513617,0.564497276,0.144420378,4.69E-06,0.00018668
FCGRT,14031.52399,-0.31612372,0.07755229,4.73E-06,0.000187837
PTDSS2,1158.075743,-0.312289616,0.076973997,4.78E-06,0.000189019
FUCA1,2792.578619,-0.217714154,0.05200796,4.83E-06,0.00018995
CFD,368.1939621,-0.505188764,0.128282887,4.83E-06,0.00018995
PAQR5,1831.330739,0.360956847,0.090227057,4.87E-06,0.000191077
RAP1B,8193.255788,0.305569152,0.075378688,5.02E-06,0.000196204
PA2G4,3610.913702,0.23308125,0.056198593,5.08E-06,0.000197961
SOD2,20289.67174,0.300863367,0.074404363,5.09E-06,0.000197961
MLLT11,242.3466115,0.662573219,0.171350806,5.13E-06,0.000198897
ZNF703,908.8871651,-0.353333174,0.088465888,5.33E-06,0.000205846
ALDH2,6676.539352,-0.35121777,0.085902315,5.35E-06,0.000205846
KCNC3,1216.810922,-0.284577476,0.070108109,5.41E-06,0.00020771
WIPF3,638.1701851,-0.386176575,0.097054196,5.51E-06,0.000210959
IDH2,5232.81264,-0.226624325,0.05488381,5.78E-06,0.000220428
PLD3,52068.83022,-0.26785118,0.066148408,5.79E-06,0.000220428
MICAL2,1401.221212,0.314357402,0.078599793,5.92E-06,0.000224303
SORL1,8225.775531,-0.355707287,0.089578549,5.93E-06,0.000224303
FAXDC2,631.4338003,-0.41099318,0.104756018,6.02E-06,0.000227055
EIF5A,10366.36697,0.268020205,0.067968964,6.06E-06,0.00022802
OGFRL1,5193.718067,0.281106629,0.070121341,6.38E-06,0.000238312
HIC1,112.2788509,0.816781441,0.21533283,6.38E-06,0.000238312
SEH1L,846.2867888,0.293558611,0.07350554,6.39E-06,0.000238312
PSTPIP1,1020.723374,0.396125445,0.10147052,6.51E-06,0.000242087
EYA2,566.936323,-0.370175143,0.094328831,6.72E-06,0.000249195
NDC1,1063.222042,0.252305398,0.062456825,7.07E-06,0.000261423
CCDC92,2293.816421,-0.237615885,0.058537136,7.13E-06,0.000262594
KIF26B,67.34409745,-1.339855326,0.357417549,7.41E-06,0.000272233
IKBKE,2230.624395,0.213262742,0.052120982,7.44E-06,0.000272522
PRKCH,325.0435881,0.542161994,0.142649531,7.53E-06,0.000275007
SLCO4A1,193.0061057,0.79932101,0.213555032,7.58E-06,0.000276036
C1orf127,106.7647409,-0.813563015,0.215992249,7.67E-06,0.000278541
LRRK1,3238.75483,-0.405027758,0.105008476,8.05E-06,0.000291446
DOCK5,3057.081535,0.208901157,0.051202893,8.13E-06,0.000293798
SESN3,144.5926918,-0.746506914,0.199287707,8.33E-06,0.000299889
SRSF9,3786.880745,0.192679544,0.047027981,8.64E-06,0.000310242
MOSPD3,434.4485738,-0.397993158,0.10397396,9.04E-06,0.000323271
ME2,3759.964279,0.29744032,0.076098544,9.05E-06,0.000323271
FAM78A,3730.180555,-0.240544084,0.060419317,9.11E-06,0.000324608
PAPSS1,6532.633777,0.247438995,0.062137201,9.17E-06,0.000325568
ABHD4,1319.53556,-0.294157462,0.075218252,9.42E-06,0.000333703
