,baseMean,log2FoldChange,lfcSE,pvalue,padj
NDRG4,174.7207316,0.481757288,0.168103015,0.000158569,0.006313581
CEP350,2579.00889,-0.202685919,0.06573802,0.000160809,0.006381434
GABARAP,8607.610665,-0.15806308,0.049539266,0.000165821,0.006558458
G0S2,1610.956062,0.211214508,0.069195327,0.000168499,0.006642323
STMN1,4146.831536,-0.252851765,0.085011452,0.000173781,0.006827946
CTSO,812.9747958,-0.229504888,0.076298523,0.000175242,0.006851047
EPC1,831.4281072,-0.212551719,0.070126598,0.00017552,0.006851047
DTWD2,564.3985553,-0.26451486,0.089494494,0.000178226,0.006888894
PCYOX1,1503.446633,-0.224611955,0.074681115,0.000177187,0.006888894
SLC5A3,7530.57681,0.240343775,0.080398133,0.000178083,0.006888894
CYSLTR1,647.4654953,-0.251468204,0.085288824,0.000178875,0.006891595
CTSC,30193.20899,-0.191986054,0.063848854,0.000181478,0.006969353
DYNLT5,405.7607534,0.37619901,0.131313865,0.000182728,0.006994774
OLR1,17711.54283,-0.251412148,0.083706686,0.000184408,0.007036467
KIDINS220,3217.128504,-0.142928138,0.044635934,0.000186129,0.007079438
GNB4,5713.3033,-0.184581933,0.060752972,0.000187736,0.007117841
NFKBID,379.0374746,0.288565006,0.09894214,0.000191103,0.007222471
MICALL2,736.9813778,0.26584561,0.090671599,0.000192227,0.007241977
CLEC2D,417.1245099,-0.286879545,0.098299506,0.000194448,0.007286779
ZBTB17,1173.952771,0.206836496,0.06848785,0.000194641,0.007286779
NATD1,556.2646612,-0.261356629,0.089347994,0.000196296,0.007325708
ZDHHC20,2543.119201,-0.174862267,0.056760257,0.000201478,0.007495624
TBC1D12,1638.306218,-0.256310539,0.087148069,0.000203306,0.007540042
CXCL5,230.6001617,1.077145761,0.39721052,0.000204661,0.007566729
TOP2B,3578.33712,-0.154380297,0.049275027,0.000208809,0.007696185
PIM3,1997.106358,0.218966149,0.07381466,0.000211645,0.00777663
TIFA,363.2028291,-0.329718089,0.116754953,0.000215858,0.007907051
IL13RA1,4979.433457,-0.141979384,0.045201473,0.000219041,0.007928262
RHOBTB1,1709.5301,-0.244685019,0.083977443,0.000217525,0.007928262
SUSD3,1105.718959,-0.319387775,0.112870098,0.000219101,0.007928262
TUBA1A,4815.293923,0.229359575,0.07821193,0.000218478,0.007928262
APOL4,745.3824291,-0.411550705,0.148462974,0.000221894,0.007980817
HLA-DRB4,910.2482121,-0.264393032,0.091733508,0.000221762,0.007980817
CDK18,1513.937224,0.237867596,0.08179618,0.000228124,0.008180174
CLIP4,1950.573989,-0.21887413,0.075204223,0.000232395,0.008308291
EPB41L2,9033.380836,-0.17017068,0.055753429,0.000233342,0.008317184
SHPRH,610.3220909,-0.294686119,0.104643418,0.00023769,0.00844688
GNA12,5607.319474,0.190936039,0.063871237,0.000243081,0.008612733
LRIG3,686.3219271,-0.30318188,0.108180661,0.000246965,0.008724372
PEDS1-UBE2V1,522.8550797,0.437053449,0.160524349,0.00025163,0.008862878
OSM,222.9879334,0.492262325,0.182604911,0.000259079,0.009098337
GPR84,883.2969875,0.357283972,0.130637444,0.000269499,0.009436433
TSPAN15,4752.857268,0.156872315,0.05152319,0.000272758,0.009522526
MATK,3466.991666,0.179220182,0.060315505,0.000276368,0.009620343
ZNF322,559.7788897,-0.277319982,0.100205547,0.000278193,0.00965566
MAN2A1,2617.265258,-0.160212926,0.053030921,0.000280686,0.009713843
DENND4C,3341.185052,-0.193261358,0.066113333,0.000281942,0.009729053
TUBB3,434.4741326,0.335283981,0.122910703,0.000288695,0.00993327
CDK4,2195.973352,0.191282928,0.065747993,0.000299716,0.010282769
LSS,2235.503789,0.2039238,0.070804322,0.000305902,0.01040831
PCYT1A,3940.316211,0.173261781,0.058626814,0.000305998,0.01040831
RNF126,1105.384239,0.196954197,0.067989214,0.000305981,0.01040831
BTN2A1,1161.68906,0.203879205,0.071013417,0.000310103,0.010501499
ENPP2,661.1296628,-0.26304688,0.095053472,0.000310502,0.010501499
MBOAT1,967.8474969,-0.213221333,0.074928946,0.000313656,0.010548225
TPP1,12453.00497,-0.148213884,0.049195529,0.000313652,0.010548225
